NO,영업리스트 수령일,본사담당자,지역,발주처,구분,사업명,제품명, 면적 , 금액 , 영업딜러 
1,2023-11-15,남기영 팀장,강원,강릉시,지자체,강릉스케이트장 인조잔디 설치,,, - ,
2,2024-02-01,남기영 팀장,강원,강릉시,지자체,"강릉 종합스포츠 타운 건립 (축구장, 야구장, 파크골프장, 테니스장)",,,,
3,2024-06-07,,강원,강릉시,지자체,동네체육시설 교체 및 신설,,,"200,000,000",
4,2024-06-07,,강원,강릉시,지자체,동네체육시설 유지보수 및 환경정비,,,"100,000,000",
5,2024-06-07,,강원,강릉시,지자체,파크골프장 정비,,,"400,000,000",
6,2024-06-07,,강원,강릉시,지자체,공공체 육시설 개보수,,,"250,000,000",
7,2024-06-07,,강원,강릉시,지자체,체육시설 정비 - 공공체육시설 개보수,,,"495,000,000",
8,2024-06-07,,강원,강릉시,지자체,미니 축구장 조성,,,"500,000,000",
9,2024-06-07,,강원,강릉시,지자체,강릉 교동 게이트볼장 시설보강,,,"100,000,000",
10,2024-06-07,,강원,강릉시,지자체,강릉 포남1동 게이트볼장 개보수공사,,,"300,000,000",
11,2024-06-07,,강원,강릉시,지자체,강릉 궁도장 조성,,,"1,000,000,000",
12,2024-06-07,,강원,고성군,지자체,토성생활체육공원 조성사업,,,"300,000,000",
13,2024-06-07,,강원,고성군,지자체,인조잔디구장 브러싱,,,"19,250,000",
14,2024-06-07,,강원,고성군,지자체,공공체육시설 관리 - 공공체육시설 유지보수 ,,,"70,000,000",
15,2024-06-07,,강원,고성군,지자체,학야리 파크골프장 조성사업,,,"1,000,000,000",
16,2024-06-07,,강원,고성군,지자체,고성 론볼장 조성사업,,,"2,000,000,000",
17,2024-06-07,,강원,고성군,지자체,간성족구장 조성사업,,,"600,000,000",
18,2023-10-24,남기영 팀장,강원,동해시,지자체,하수종말처리장 부지 내 유소년전용 축구장 - 24년사업,MD 55,"5,000","307,500,000",
19,2023-10-24,남기영 팀장,강원,동해시,지자체,하수종말 처리장 실외 테니스장 신규조성,MD 25,"5,600","216,720,000",
20,2024-02-23,이상원 부장,강원,동해시,지자체,해오룸 스포츠타운 테니스장 6면,MD 25,,,
21,2023-11-02,김봉진 실장,강원,동해시,지자체,"동해시 야구장, 테니스장",MD 55,, - , 김봉진 실장님 
22,2024-06-07,,강원,동해시,지자체,동해웰빙레포츠타운 풋살구장 인조잔디 정비,,,"40,000,000",
23,2024-06-07,,강원,동해시,지자체,동해 백세건강스포츠 센터 건립,,,"400,000,000",
24,2024-06-07,,강원,동해시,지자체,동트는 야구장(리틀야구장)조성공사,,,"100,000,000",
25,2024-06-07,,강원,동해시,지자체,풋살구장 인조잔디 정비,,,"40,000,000",
26,2023-09-12,김봉진 실장,강원,삼척시,지자체," 제2복합 스포츠타운 축구장1면, 야구장 1면,테니스장1면,파크골프장
1면",MD 55,"15,000","922,500,000", 김봉진 실장님 
27,2023-11-02,김봉진 실장,강원,삼척시,지자체," 삼척 복합체육공원 야구장1면, 축구장2면, 풋살장3면, 족구장 4면",MD 55,"20,000","1,230,000,000", 김봉진 실장님 
28,2024-06-07,,강원,삼척시,지자체,오분 게이트볼장 이전 신축공사,,,"500,000,000",
29,2024-06-07,,강원,삼척시,지자체,제60회 강원특별자치도민체육대회 경기장 유지보수,,,"500,000,000",
30,2024-06-07,,강원,삼척시,지자체,생활문화체육공원 조성,,,"2,347,000,000",
31,2024-06-07,,강원,삼척시,지자체,동네체육시설 설치 및 유지관리 - 동네체육시설 유지보수(읍면동포함),,,"150,000,000",
32,2024-06-07,,강원,삼척시,지자체,도계파크골프장 조성사업,,,"1,000,000,000",
33,2024-06-07,,강원,삼척시,지자체,전천후 실내연습장 건립,,,"1,300,000,000",
34,2024-06-07,,강원,삼척시,지자체,삼척 골프연습장 조성사업,,,"1,600,000,000",
35,2024-06-07,,강원,삼척시,지자체,동네체육시설 신규설치 및 보수,,,"40,000,000",
36,2024-06-07,,강원,삼척시,지자체,속초 교동게이트볼장 환경공사,,,"25,000,000",
37,2024-06-07,,강원,삼척시,지자체,반다비 체육센터 조성,,,"1,500,000,000",
38,2024-06-07,,강원,삼척시,지자체,공공체육시설 유지관리,,,"250,000,000",
39,2024-06-07,,강원,삼척시,지자체,학교 체육시설 환경개선 사업,,,"594,000,000",
40,2023-10-24,이상원 부장,강원,원주교육지원청,학교,문막고등학교 풋살장 조성,MD 55,"2,400","147,600,000", 임진호 대표 
41,2023-10-24,이상원 부장,강원,원주교육지원청,학교,원주고등학교 인조잔디 운동장 조성,MD 55,"7,500","461,250,000", 임진호 대표 
42,2023-10-26,남기영 팀장,강원,원주시,지자체, 각림문화체육공원 부대시설 및 주차장 조성사업 실시설계(테니스장),MD 25,, - ,
43,2024-03-12,남기영 팀장,강원,원주시,지자체, 원주 양궁장 내 테니스장 인조잔디 6면조성,MD 25,,,
44,2023-10-26,남기영 팀장,강원,인제군,지자체, 인제종합운동장,MD 55,"8,000","492,000,000",
45,2024-06-07,,강원,인제군,지자체,체육시설 관리(자체) - 체육시설 유지보수,,,"300,000,000",
46,2024-06-07,,강원,인제군,지자체,체육시설 및 편의시설 확충(자체) - 소규모 다목적체육시설,,,"600,000,000",
47,2024-06-07,,강원,인제군,지자체,"체육시설 및 편의시설 확충(자체) - 파크골프장 조성(한계, 서화)",,,"300,000,000",
48,2024-06-07,,강원,인제군,지자체,인제종합운동장 조성[도비](전환사업)  - 인제종합운동장 조성,,,"11,650,000,000",
49,2024-06-07,,강원,인제군,지자체,인제종합운동장 조성[자체] - 인제종합운동장 조성,,,"3,000,000,000",
50,2024-06-07,,강원,인제군,지자체,인제 골프연습장 조성[도비](전환사업) - 인제 골프연습장 조성,,,"2,567,500,000",
51,2024-06-07,,강원,인제군,지자체,인제 풋살장 조성사업[도비](전환사업) - 인제 풋살장 조성사업,,,"500,000,000",
52,2024-06-07,,강원,인제군,지자체,남면 전천후테니스장 조성사업[도비](전환사업) - 남면 전천후테니스장 조성사업,,,"500,000,000",
